#,Name,Play Number,QB Comment,Series,Field Position,Down,Distance,Gain,OFF Group,Personnel,The_Play,Backfield,FIB,Formation,Form Adj Y,Form Adj WR,Form Adj Bunch Stick,Empty,Motion,Motion 2,Motion 3,Protection,Play,Tempo,Run Concept,Pass Concept,Pass Concept 1,Pass Concept 2,Screen Concept,RPO1,ADDON 1,R/P,Pass Result,MOE,QB#,J#,EFF
214,"04 NCCR OFF vs. FLUN (09/23/23), Play 005",5,,2,-25,2,10,1,,21,DEUCE LT SLOT THURSDAY (CK. LEECH MIKE PUNK),GUN,,DEUCE,,SLOT,,,,,,,LEECH-MIKE PUNK,THURSDAY,ROACH-LEECH MIKE,,,,,PUNK,,R,,,11,13,N
215,"04 NCCR OFF vs. FLUN (09/23/23), Play 006",6,,2,-26,3,9,0,,21,NINER JUKE,EMPTY,,JUKE,,,,X,,,,LOAD-ROCK,NINER JUKE,NINER,,JUKE,JUKE,,,,,P,I,,11,19,N
216,"04 NCCR OFF vs. FLUN (09/23/23), Play 008",8,,3,-25,2,10,2,,12,HAC DEUCE LT CLASSY QK JACK CHIP HERO SPACING,GUN,,DEUCE,,CLASSY,,,AC-H,,,JILL-JACK QK CHIP,QK JACK CHIP HERO SPACING,,,HERO SPACING,HERO,SPACING,,,,P,C,,11,84,N
217,"04 NCCR OFF vs. FLUN (09/23/23), Play 009",9,,3,-27,3,8,13,,12,(P) TRAIN RT OFF OX H-BOMBER S. CALI RUBY,PISTOL,,TRAIN,OFF,OX,,,BOMBER-H,,,,S. CALI RUBY,,,,,,CALI LUCY-RUBY,,,P,C,,11,18,Y
218,"04 NCCR OFF vs. FLUN (09/23/23), Play 011",11,,3,-47,2,3,0,,12,TRAIN RT BILLY JILL CHIP X-LIGHTRAIL,GUN,,TRAIN,,,BILLY,,,,,JILL-JACK CHIP,JILL CHIP X-LIGHTRAIL,,,LIGHTRAIL-X,LIGHTRAIL-X,,,,,P,I,,11,10,N
219,"04 NCCR OFF vs. FLUN (09/23/23), Play 014",14,,4,-12,2,23,0,,21,THIEF RT BILLY QK ROACH MIKE,GUN,,THIEF,,,BILLY,,,,,,QK ROACH MIKE,,ROACH-LEECH MIKE QK,,,,,,,R,,,11,13,N
220,"04 NCCR OFF vs. FLUN (09/23/23), Play 015",15,,4,-12,3,23,0,,12,DOLPHIN LT Z-BACK SHOW SALLY CRACK,GUN,,DOLPHIN,,,,,BACK-Z,,,,SHOW SALLY CRACK,,,,,,SALLY-ROSE CRACK,,CRACK,P,I,,11,13,N
221,"04 NCCR OFF vs. FLUN (09/23/23), Play 016",16,,5,-25,0,10,4,,12,DEUCE RT SLOT LION OLY,GUN,,DEUCE,,SLOT,,,,,,,LION OLY,,BEAR-LION OMAR,,,,,,,R,,,4,4,Y
222,"04 NCCR OFF vs. FLUN (09/23/23), Play 017",17,,5,-29,2,6,9,,12,TRIPS RT OX 1 R-JET N. PITT COVER,EMPTY,,TRIPS,,OX / 1,,X,,,JET-R,,N. PITT COVER,,PITT COVER,,,,,,,R,,,4,4,Y
223,"04 NCCR OFF vs. FLUN (09/23/23), Play 018",18,,5,-38,1,10,20,,12,DEUCE LT SLOT BEAR OMAR,GUN,,DEUCE,,SLOT,,,,,,,BEAR OMAR,,BEAR-LION OMAR,,,,,,,R,,,4,21,Y
224,"04 NCCR OFF vs. FLUN (09/23/23), Play 019",19,,5,42,1,10,0,,12,TRIPS LT OX 1 R-JET S. PITT COVER,EMPTY,,TRIPS,,OX / 1,,X,,,JET-R,,S. PITT COVER Z-CRACK,,PITT COVER,,,,,,,R,,,4,4,N
225,"04 NCCR OFF vs. FLUN (09/23/23), Play 020",20,,5,42,2,10,34,,12,TRAIN RT OFF LIZZY SUN SWITCH X-DRAG,GUN,,TRAIN,OFF,,,,,,,LIZZY-RIPPY,LIZZY SUN SWITCH X-DRAG,,,SUN SWITCH DRAG-X,SUN SWITCH,DRAG-X,,,,P,C,,4,18,Y
226,"04 NCCR OFF vs. FLUN (09/23/23), Play 021",21,,5,8,1,8,,,12,YAHOO TRIPS LT OX SPIDER SLICK,GUN,,TRIPS,,OX,,,YAHOO,,,,SPIDER SLICK,,BEETLE-SPIDER,SLICK,SLICK,,,,,X,,PENALTY,4,,
